t1,t2,style,k,r0,source
c=_2,s3e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_2,s4e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_2,s_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_2,si_,quadratic,241.04239999999999,1.835,cvff_auto
c=_2,sp_,quadratic,240.988,1.7450000000000001,cvff_auto
c=_3,c=_3,quadratic,655.20000000000005,1.3300000000000001,cvff_auto
c=_3,c_,quadratic,322.80000000000001,1.5,cvff_auto
c=_3,cl_,quadratic,278.51319999999998,1.732,cvff_auto
c=_3,cp_,quadratic,322.80000000000001,1.5,cvff_auto
c=_3,ct_,quadratic,337.64240000000001,1.425,cvff_auto
c=_3,f_,quadratic,285.13200000000001,1.395,cvff_auto
c=_3,h_,quadratic,361.60000000000002,1.0900000000000001,cvff_auto
c=_3,i_,quadratic,233.44319999999999,2.0659999999999998,cvff_auto
c=_3,n3m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_3,n4m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_3,n=_1,quadratic,560,1.26,cvff_auto
c=_3,n=_2,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_3,n=_3,quadratic,560,1.26,cvff_auto
c=_3,n_,quadratic,279.07400000000001,1.4099999999999999,cvff_auto
c=_3,na_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_3,np_,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_3,o'_,quadratic,312.91160000000002,1.355,cvff_auto
c=_3,o_,quadratic,355.19880000000001,1.3680000000000001,cvff_auto
c=_3,op_,quadratic,340.51159999999999,1.355,cvff_auto
c=_3,p_,quadratic,250.99879999999999,1.7250000000000001,cvff_auto
c=_3,s'_,quadratic,255.78800000000001,1.7450000000000001,cvff_auto
c=_3,s3e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_3,s4e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_3,s_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_3,si_,quadratic,241.04239999999999,1.835,cvff_auto
c=_3,sp_,quadratic,240.988,1.7450000000000001,cvff_auto
c_,c_,quadratic,322.7158,1.526,cvff_auto
c_,cl_,quadratic,314,1.7609999999999999,cvff_auto
c_,cp_,quadratic,283.0924,1.51,cvff_auto
c_,ct_,quadratic,340,1.3999999999999999,cvff_auto
c_,f_,quadratic,496,1.363,cvff_auto
c_,h_,quadratic,340.61750000000001,1.105,cvff_auto
c_,i_,quadratic,200,2.1200000000000001,cvff_auto
c_,n+_,quadratic,270.8836,1.462,cvff_auto
c_,n3m_,quadratic,356.59879999999998,1.47,cvff_auto
c_,n4m_,quadratic,356.59879999999998,1.47,cvff_auto
