t1,t2,t3,t4,style,kphi,n,phi0,source
HB,CP1,C,NH1,torsion_1,0.59999999999999998,2,0,
HB,CP1,C,O,torsion_1,0.40000000000000002,1,0,
HB,CP1,C,O,torsion_1,0.59999999999999998,2,0,
HB,CP1,CC,NH2,torsion_1,0.40000000000000002,1,180,
HB,CP1,CC,NH2,torsion_1,0.59999999999999998,2,0,
HB,CP1,CC,O,torsion_1,0.40000000000000002,1,0,
HB,CP1,CC,O,torsion_1,0.59999999999999998,2,0,
HB,CP1,CC,OC,torsion_1,0.16,3,0,
HB,CP1,NP,HC,torsion_1,0.080000000000000002,3,0,
HB,CT1,C,N,torsion_1,0,1,0,
HB,CT1,C,NH1,torsion_1,0,1,0,
HB,CT1,C,O,torsion_1,0,1,0,
HB,CT2,C,N,torsion_1,0,1,0,
HB,CT2,C,NH1,torsion_1,0,1,0,
HB,CT2,C,O,torsion_1,0,1,0,
HB,CT2,NH2,HC,torsion_1,0.11,3,0,
