t1,t2,t3,t4,style,kphi,n,phi0,source
*,sz,sz,*,torsion_1,1,3,0,cvff
c,c',n,c,torsion_1,3.2000000000000002,2,180,cvff
c,c',n,hn,torsion_1,1.2,2,180,cvff
c,n,c',h,torsion_1,3.2000000000000002,2,180,cvff
c,n,c',o',torsion_1,3.7999999999999998,2,180,cvff
c,o,cp,cp,torsion_1,1.8,2,180,cvff
c,o,si,h,torsion_1,-0.10000000000000001,3,0,cvff
c,o,si,o,torsion_1,0.10000000000000001,3,0,cvff
c,si,c,h,torsion_1,0.40000000000000002,3,0,cvff
c,si,c,si,torsion_1,-1.7,3,0,cvff
c,si,o,si,torsion_1,0.40000000000000002,3,0,cvff
cp,c,cp,cp,torsion_1,0.67500000000000004,4,0,cvff
cp,cp,cs,sp,torsion_1,6.4516999999999998,2,180,cvff
cp,cs,sp,cs,torsion_1,12,2,180,cvff
cs,sp,cs,h,torsion_1,3.9316,2,180,cvff
h,c,o,si,torsion_1,0.69999999999999996,3,0,cvff
h,c,si,h,torsion_1,0.28000000000000003,3,0,cvff
h,c,si,o,torsion_1,-0.10000000000000001,3,0,cvff
h,cp,cs,sp,torsion_1,2,2,180,cvff
h,si,c,si,torsion_1,1,3,0,cvff
h,si,o,si,torsion_1,1,3,0,cvff
h,sz,oz,sz,torsion_1,1,3,0,cvff
hn,n,c',o',torsion_1,1.8,2,180,cvff
o,si,o,si,torsion_1,0.29999999999999999,3,0,cvff
oe1,ce1,ce1,oe1,torsion_1,-2.5499999999999998,1,0,cvff
oet5,ce1,ce1,oet5,torsion_1,-1.72,1,0,cvff
oz,sz,oz,sz,torsion_1,0.29999999999999999,3,0,cvff
