t1,t2,delta_ij,delta_ji
oh,sz,-0.21879999999999999,0.21879999999999999
oh,az,-0.21879999999999999,0.21879999999999999
oz,oz,0,0
oz,op,0.19620000000000001,-0.19620000000000001
oz,s,-0.1143,0.1143
oz,sh,-0.1565,0.1565
oz,sp,-0.076600000000000001,0.076600000000000001
oz,s',-0.076600000000000001,0.076600000000000001
oz,p,-0.25480000000000003,0.25480000000000003
oz,h,-0.2432,0.2432
oz,ho,-0.10000000000000001,0.10000000000000001
oz,f,0.1077,-0.1077
oz,cl,-0.036700000000000003,0.036700000000000003
oz,br,-0.081799999999999998,0.081799999999999998
oz,i,-0.092399999999999996,0.092399999999999996
oz,si,-0.14999999999999999,0.14999999999999999
oz,sz,-0.14999999999999999,0.14999999999999999
oz,az,-0,0
op,op,0,0
op,s,-0.33860000000000001,0.33860000000000001
op,sh,-0.37909999999999999,0.37909999999999999
op,sp,-0.3024,0.3024
op,s',-0.3024,0.3024
op,p,-0.49330000000000002,0.49330000000000002
op,h,-0.49430000000000002,0.49430000000000002
op,f,-0.088800000000000004,0.088800000000000004
op,cl,-0.25850000000000001,0.25850000000000001
op,br,-0.314,0.314
op,i,-0.32969999999999999,0.32969999999999999
op,si,-0.58830000000000005,0.58830000000000005
o',o',0,0
o',s,-0.33860000000000001,0.33860000000000001
o',sh,-0.37909999999999999,0.37909999999999999
o',sp,-0.3024,0.3024
o',s',-0.3024,0.3024
o',p,-0.84999999999999998,0.34999999999999998
o',h,-0.49430000000000002,0.49430000000000002
o',f,-0.088800000000000004,0.088800000000000004
o',cl,-0.25850000000000001,0.25850000000000001
o',br,-0.314,0.314
o',i,-0.32969999999999999,0.32969999999999999
o',si,-0.58830000000000005,0.58830000000000005
s,s,0,0
s,sh,-0.050900000000000001,0.050900000000000001
s,sp,0.045499999999999999,-0.045499999999999999
s,s',0.045499999999999999,-0.045499999999999999
s,p,-0.16,0.16
s,h,-0.13919999999999999,0.13919999999999999
s,f,0.23799999999999999,-0.23799999999999999
s,cl,0.089800000000000005,-0.089800000000000005
s,br,0.043700000000000003,-0.043700000000000003
s,i,0.034500000000000003,-0.034500000000000003
s,si,-0.26340000000000002,0.26340000000000002
sh,sh,0,0
sh,sp,0.0964,-0.0964
sh,s',0.0964,-0.0964
sh,p,-0.1032,0.1032
sh,h,-0.078700000000000006,0.078700000000000006
sh,f,0.27939999999999998,-0.27939999999999998
sh,cl,0.13919999999999999,-0.13919999999999999
sh,br,0.096600000000000005,-0.096600000000000005
sh,i,0.088900000000000007,-0.088900000000000007
sh,si,-0.20319999999999999,0.20319999999999999
sp,sp,0,0
sp,s',0,0
sp,p,-0.21060000000000001,0.21060000000000001
sp,h,-0.19320000000000001,0.19320000000000001
sp,f,0.2011,-0.2011
sp,cl,0.045699999999999998,-0.045699999999999998
sp,br,-0.0033999999999999998,0.0033999999999999998
sp,i,-0.014,0.014
sp,si,-0.31719999999999998,0.31719999999999998
s',s',0,0
s',p,-0.21060000000000001,0.21060000000000001
s',h,-0.19320000000000001,0.19320000000000001
s',f,0.2011,-0.2011
s',cl,0.045699999999999998,-0.045699999999999998
s',br,-0.0033999999999999998,0.0033999999999999998
s',i,-0.014,0.014
s',si,-0.31719999999999998,0.31719999999999998
p,p,0,0
p,h,0.0356,-0.0356
p,f,0.38690000000000002,-0.38690000000000002
p,cl,0.25440000000000002,-0.25440000000000002
p,br,0.21560000000000001,-0.21560000000000001
p,i,0.21099999999999999,-0.21099999999999999
p,si,-0.1069,0.1069
h,h,0,0
h,f,0.38229999999999997,-0.38229999999999997
h,cl,0.2404,-0.2404
h,br,0.1978,-0.1978
h,i,0.1923,-0.1923
h,si,0.02,-0.02
f,f,0,0
f,cl,-0.15890000000000001,0.15890000000000001
f,br,-0.2099,0.2099
f,i,-0.22339999999999999,0.22339999999999999
