atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
c_2,C,12.01099967956543,lj_ab_12_6,,,"3 carbonyl carbon of carbamate, urea"
c_a,C,12.011150360107422,lj_ab_12_6,,,4 general amino acid alpha carbon (sp3)
ca+,Ca,40.080001831054688,lj_ab_12_6,,,1 calcium ion
ca++,Ca,40.080001831054688,lj_ab_12_6,,,0 Calcium ion in Ca3SiO5 (+1.5) and organic salts
ca+a,Ca,40.080001831054688,lj_ab_12_6,,,0 Calcium ion in Ca3Al2O6 (+1.5)
ca+e,Ca,40.080001831054688,lj_ab_12_6,,,0 Calcium ion in ettringite (+1.6)
ca+g,Ca,40.080001831054688,lj_ab_12_6,,,"0 Calcium ion in gypsum, hemihydrate, and anhydrite (+1.5)"
ca+h,Ca,40.080001831054688,lj_ab_12_6,,,0 Calcium ion in hydroxyapatite (+1.5)
ca+m,Ca,40.080001831054688,lj_ab_12_6,,,0 Calcium ion in monosulfate (+1.4)
ca+t,Ca,40.080001831054688,lj_ab_12_6,,,0 Calcium ion in tobermorite (+1.5)
ce1,C,12.011150360107422,lj_ab_12_6,,,4 Carbon atom in backbone or terminal group in PEO
cg,C,12.011150360107422,lj_ab_12_6,,,4 sp3 alpha carbon in glycine
ci,C,12.011150360107422,lj_ab_12_6,,,3 sp2 aromatic carbon in charged imidazole ring (His+)
cl,Cl,35.452999114990234,lj_ab_12_6,,,1 chlorine atom
co,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon in acetals
coh,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon in acetals with hydrogen
cp,C,12.011150360107422,lj_ab_12_6,,,3 sp2 aromatic carbon
cr,C,12.011150360107422,lj_ab_12_6,,,3 C in neutral arginine
cs,C,12.011150360107422,lj_ab_12_6,,,3 sp2 aromatic carbon in 5 membered ring next to S
ct,C,12.011150360107422,lj_ab_12_6,,,2 sp carbon involved in a triple bond
cz,C,12.01099967956543,lj_ab_12_6,,,3 carbonyl carbon of carbonate
dw,D,2.0139999389648438,lj_ab_12_6,,,1 deuterium in heivy water
et5,Lp,0.5,lj_ab_12_6,,,1 Electron pair in TIP5P water/ether model (shown as He)
f,F,18.99839973449707,lj_ab_12_6,,,1 fluorine atom
h,H,1.0079699754714966,lj_ab_12_6,,,"1 generic hydrogen bound to C, Si,or H"
h*,H,1.0079699754714966,lj_ab_12_6,,,"1 hydrogen bonded to nitrogen, Oxygen"
h+,H,1.0079699754714966,lj_ab_12_6,,,1 charged hydrogen in cations
h1,H,1.0079699754714966,lj_ab_12_6,,,"1 Hydrogen atom, nonpolar (compass)"
h1o,H,1.0079699754714966,lj_ab_12_6,,,"1 Hydrogen atom bonded to oxygen, nitrogen (compass)"
ha1,H,1.0079699754714966,lj_ab_12_6,,,1 Hydrogen atom in terminal OH group in PEO (+0.4)
hb,H,1.0078200101852417,lj_ab_12_6,,,1 hydrogen atom in bridging hydroxyl group
hc,H,1.0079699754714966,lj_ab_12_6,,,1 hydrogen bonded to carbon
he,He,4.0029997825622559,lj_ab_12_6,,,0 Helium
he1,H,1.0079699754714966,lj_ab_12_6,,,1 Hydrogen atom in backbone or terminal group in PEO
