t1,t2,delta_ij,delta_ji
cl,s',-0.045699999999999998,0.045699999999999998
cl,si,-0.35980000000000001,0.35980000000000001
cl,sp,-0.045699999999999998,0.045699999999999998
cp,cp,0,0
cp,ct,0.085199999999999998,-0.085199999999999998
cp,f,0.13,-0.13
cp,h,-0.1268,0.1268
cp,i,0.064199999999999993,-0.064199999999999993
cp,n,0,0
cp,n+,0.2989,-0.048899999999999999
cp,n=,0.1993,-0.1993
cp,n=1,0.1993,-0.1993
cp,n=2,0.1993,-0.1993
cp,n_2,0.23699999999999999,-0.23699999999999999
cp,na,0,0
cp,nh,-0.050000000000000003,0.050000000000000003
cp,nn,0.082699999999999996,-0.082699999999999996
cp,np,0.24049999999999999,-0.24049999999999999
cp,o,0.026499999999999999,-0.026499999999999999
cp,o_1,0.39639999999999997,-0.39639999999999997
cp,o_2,0.27900000000000003,-0.27900000000000003
cp,op,0.028299999999999999,-0.028299999999999999
cp,oz,0.17000000000000001,-0.17000000000000001
cp,p,-0.037999999999999999,0.037999999999999999
cp,p=,-0.059999999999999998,0.059999999999999998
cp,s,-0.012,0.012
cp,s',0.073200000000000001,-0.073200000000000001
cp,si,-0.11700000000000001,0.11700000000000001
cp,si,-0.22700000000000001,0.22700000000000001
cp,sio,-0.14999999999999999,0.14999999999999999
cp,sp,-0.012999999999999999,0.012999999999999999
cr,n=,0.40000000000000002,-0.40000000000000002
cr,n=1,0.40000000000000002,-0.40000000000000002
cr,n=2,0.40000000000000002,-0.40000000000000002
cr,nr,0,-0
ct,ct,0,0
ct,f,0.18729999999999999,-0.18729999999999999
ct,h,-0.20519999999999999,0.20519999999999999
ct,i,-0.0281,0.0281
ct,n,0.12039999999999999,-0.12039999999999999
ct,n+,0.099199999999999997,0.15079999999999999
ct,n=,0.12039999999999999,-0.12039999999999999
ct,n=1,0.12039999999999999,-0.12039999999999999
ct,n=2,0.12039999999999999,-0.12039999999999999
ct,na,-0.063600000000000004,0.063600000000000004
ct,nh,-0.056800000000000003,0.056800000000000003
ct,nn,0.091999999999999998,-0.091999999999999998
ct,np,0.12039999999999999,-0.12039999999999999
ct,nt,0.12039999999999999,-0.12039999999999999
ct,o,0.067500000000000004,-0.067500000000000004
ct,p,-0.13350000000000001,0.13350000000000001
ct,s,-0.052200000000000003,0.052200000000000003
ct,si,-0.3266,0.3266
cz,oo,0.5,-0.5
cz,oz,0.10000000000000001,-0.10000000000000001
f,f,0,0
f,h,-0.38229999999999997,0.38229999999999997
f,h*,-0.40889999999999999,0.40889999999999999
f,i,-0.22339999999999999,0.22339999999999999
f,n,-0.073099999999999998,0.073099999999999998
f,n+,0.0061999999999999998,0.24379999999999999
f,n=,-0.073099999999999998,0.073099999999999998
f,n=1,-0.073099999999999998,0.073099999999999998
f,n=2,-0.073099999999999998,0.073099999999999998
f,na,-0.14149999999999999,0.14149999999999999
f,nh,-0.222,0.222
f,nn,-0.073099999999999998,0.073099999999999998
f,np,-0.073099999999999998,0.073099999999999998
f,o,-0.1077,0.1077
f,op,0.088800000000000004,-0.088800000000000004
f,p,-0.38690000000000002,0.38690000000000002
f,p=,-0.17999999999999999,0.17999999999999999
f,s,-0.23799999999999999,0.23799999999999999
f,s',-0.2011,0.2011
f,si,-0.47889999999999999,0.47889999999999999
f,sp,-0.2011,0.2011
h,h,0,0
h,i,0.1923,-0.1923
h,op,0.49430000000000002,-0.49430000000000002
h,p,-0.0356,0.0356
h,p=,-0.050000000000000003,0.050000000000000003
h,s,0.13919999999999999,-0.13919999999999999
h,s',0.19320000000000001,-0.19320000000000001
h,si,-0.126,0.126
h,si,-0.1537,0.1537
h,sio,-0.13,0.13
h,sp,0.19320000000000001,-0.19320000000000001
h*,n,0.4395,-0.4395
h*,n=,0.32779999999999998,-0.32779999999999998
h*,n=1,0.32779999999999998,-0.32779999999999998
h*,n=2,0.32779999999999998,-0.32779999999999998
h*,na,0.2487,-0.2487
h*,nh,0.39250000000000002,-0.39250000000000002
h*,nn,0.2487,-0.2487
h*,np,0.32779999999999998,-0.32779999999999998
h*,nr,0.40679999999999999,-0.40679999999999999
h*,nt,0.32779999999999998,-0.32779999999999998
h*,o,0.42409999999999998,-0.42409999999999998
h*,o*,0.39910000000000001,-0.39910000000000001
h*,o*,0.40999999999999998,-0.40999999999999998
h*,osi,0.34000000000000002,-0.34000000000000002
h+,n+,0.28000000000000003,-0.029999999999999999
hb,ob,0.083900000000000002,-0.083900000000000002
hi,nh,0.39250000000000002,0.1075
hn2,n_2,0.378,-0.378
ho2,o_2,0.42299999999999999,-0.42299999999999999
ho2,oz,0.45000000000000001,-0.45000000000000001
hoa,oah,0.057500000000000002,-0.057500000000000002
hos,osh,0.064100000000000004,-0.064100000000000004
hsi,si,-0.126,0.126
i,i,0,0
i,n,0.15540000000000001,-0.15540000000000001
